Question,Answer
What happens when I want to access the learning websites and I have an existing mobile data plan and an MSME Learning bundle?,"Your learning bundle depletes when you are on the learning websites, even if you have another active data bundle."
What happens when I want to access other websites and I have an existing mobile data plan and an MSME Learning bundle?,Your mobile data plan would deplete instead when you are on other websites
Can I purchase the bundle multiple times?,"Yes, you can. There is no limit to the number of times you can purchase it."
"If my Learning bundle is on One-off option, will I be able to opt in for Recurrent option or renew the bundle?","Yes, you will be able to opt in for Recurrent option or renew the bundle by sending “RLearn” to 131."
How can I check my main account and MSME Learning bundle balance?,"You can check your main account balance, MSME Learning bundle balance and bundle expiry by dialling the code *131*4#"
Who is SME Data share for?,"MTN SME Data Share has been designed specifically for business owners who need to enable their staff, wherever they are based, by sharing mobile data with them."
Can I Purchase SME Data share on other Channels?,"Yes, you can purchase through: • My MTN App • SMS- By sending the keyword to 131 • USSD – By dialing the appropriate short string     Bundle   Price(N)   Validity (days)   Share Count   Opt-In SMS keyword    Opt-Out SMS keyword   Short String     25GB   10,000   30   50   468   NO468   *461*30#     35GB   13,500   30   70   501   NO501   *461*31#     165GB   50,000   60   330   504   NO504   *461*32#     360GB   100,000   90   720   503   NO503   *461*33#     1TB   250,000   90   2500   505   NO505   *461*34#     5TB   1,250,000   90   5120   506   NO506   *461*35#     10TB   2,520,000   90   10240   507   NO507   *461*36#     20TB   4,830,000   90   20480   508   NO508   *461*37#     25TB   5,770,000   90   25600   509   NO509   *461*38#"
What sizes of data can I share with my staff?,"You can share 500MB, 1GB, 2GB, 3GB, 5GB or 10GB. These are the only size of data that can be shared."
Is there a limit to the number of times I can share data with my staff,"Yes there are share counts as seen in the table below.     Bundle   Price(N)   Validity (days)   Share Count     25GB   10,000   30   50     35GB   13,500   30   70     165GB   50,000   60   330     360GB   100,000   90   720     1TB   250,000   90   2500     5TB   1,250,000   90   5120     10TB   2,520,000   90   10240     20TB   4,830,000   90   20480     25TB   5,770,000   90   25600"
How do I share my SME data bundle with my Staff?,"You can share your SME data share on the App and Web channels. You can also share data with any beneficiary by sending an SMS keyword to 131 or by dialing any of the USSD strings as shown in the table below     USSD Format   SMS Format to send to 131 to share data   Comment     *461*NUMBER*250*PIN#   SMEA <PhoneNumber> 250 <PIN> to 131   SMS to transfer 250MB     *461*NUMBER*500*PIN#   SMEB <PhoneNumber> 500 <PIN> to 131   SMS to transfer 500MB     *461*NUMBER*1000*PIN#   SMEC <PhoneNumber> 1000 <PIN> to 131   SMS to transfer 1GB     *461*NUMBER*2000*PIN#   SMED <PhoneNumber> 2000 <PIN> to 131   SMS to transfer 2GB     *461*NUMBER*5000*PIN#   SME <PhoneNumber> 5000 <PIN> to 131   SMS to transfer 5GB       For example to share 500MB of data with beneficiary using phone number 08031234567 and MTN PIN ‘1234’, then the following is sent as SMS to 131 (or Dial *461# and follow the prompt)  SMEA 08031234567 250 1234 = Correct Format!"
How do my staff check their data balance through other channels?,Your staff can check their data balance by sending SHAREBALANCE to 131 or dial *461*2*3#.
Can I purchase another SME data plan while my current plan is still running?,"Yes, you can purchase additional SME Data plans multiple times while your current plan is still running. Your data will be accumulated and will assume the expiry date of your last SME Data plan."
"If I send data to my staff multiple times, does the data accumulate?","Yes, the data accumulates and takes on the expiry data of the last shared data bundle."
How do I know when my subscription will expire?,You will receive an SMS notifying you of the subscription expiration three days to the end of your subscription. This will continue everyday until the expiration of your subscription.
What is the MTN BizPlus Plan?,MTN BizPlus is a prepaid tariff plan that allows MSMEs enjoy a FLAT rate of ONLY 11.26k/sec for calls across ALL local networks after the first 60 second call of the day at 25k/sec. BizPlus subscribers also get rewarded with BizPlus Points when they perform some “revenue generating activities” which can be used to get different BizPlus bundles and other data bundles.
Who can activate the MTN BizPlus bundle?,All MTN prepaid customers can activate the BizPlus bundles.
Can I purchase the BizPlus bundle on other channels?,"Yes, you can purchase BizPlus bundles by dialing *460*2# from an MTN line or SMS BizPlus to 131."
Can I update the CallerFeel and CallerTunez Value Added Services?,Customer who have an active BizPlus Standard or BizPlus Premium bundle can update the VAS elements by dialing *460*2*5#
Can I purchase the BizPlus Bundles multiple times?,"You can purchase Bizplus bundles multiple times. However, the Time-based bundles have a cap of 5GB per day."
How can I check my BizPlus bundle balance?,You can check your main account balance and bundle expiry by dialing the code *131*4#
Will I be able to roll over my unused data if I renew my bundle before expiry?,"Yes, you would be able to roll over your unused data if you renew your bundle before expiry."
Will I be able to roll over my unused BizPlus Time-based bundles if I have unused data before expiry?,All unused data from your BizPlus Time-based bundles is not be rolled over and will expire daily.
Can I use a BizPlus bundle during roaming?,"No, BizPlus bundles cannot be used as a roaming bundle"
What is BizPlus Points Offer?,BizPlus Points Offer awards BizPlus customers points for the following activities • First-time migration to the Pulse tariff plan • Performing selected revenue-generating activities from your main account
"If I have been on the BizPlus tariff plan but migrated out, will I receive BizPlus Points for migrating back to the BizPlus tariff","No, you will not receive BizPlus points for migrating back to Migrating back to BizPlus. But you will still receive points when you perform selected revenue generating activities when on the BizPlus plan"
Can I use BizPlus Points to make calls?,"No, you can only use BizPlus points to redeem data"
What are the activities I should perform to receive BizPlus Points?,The selected activities are • First time migration BizPlus Tariff Plan • Purchase/Gifting of:     ◦ BizPlus bundles     ◦ Daily Data plans     ◦ Weekly Data plans     ◦ Monthly data plans
Will I be able to accumulate the BizPlus Points?,"Yes, you can accumulate your BizPlus points and exchange them for free data."
What services can I exchange my BizPlus Points for?,You will be able to redeem your BizPlus Points by using BizPlus points only for the following services: • Purchase of: ◦ BizPlus bundles ◦ Daily Data plans ◦ Weekly Data plans ◦ Monthly data plans
How can I redeem my BizPlus Points?,"To redeem your BizPlus Points, dial *460*2*6# and follow the instructions"
Will I receive BizPlus Points when I activate a data plan with my BizPlus points?,"No, you will NOT receive BizPlus points if you activate a data plan with your BizPlus Points"
How can I check my BizPlus Point balance?,"To check your BizPlus Point balance, dial *460*2*6#"
Will I be able to transfer my BizPlus Points to loved ones or family?,"No, bizPlus points are not transferable to loved ones or family"
What is the validity of BizPlus Points?,"All accumulated BizPlus points are valid for a period of 1 (one) Calendar Year e.g. January 1st 2022- December 31st 2022 11:59pm. If your points are not redeemed before the validity period, your points will be cleared."
Will my BizPlus Points be cleared if I migrate out of the BizPlus plans?,"You will lose your BizPlus points once you migrate out of the BizPlus Tariff Plan. However, once you migrate back to the BizPlus plan you can start earning BizPlus points when you perform certain activities on your line."
How much will I be charged for migrating from a BizPlus Plan?,"Your first migration out of the BizPlus plan in a month will not be charged, but for subsequent migration out of the plan within same month, you will be charged N102."
Will I be able to migrate to another plan and use my active bundle on the new tariff plan?,You will be able to migrate out of the BizPlus plan to another tariff plan even if you have an active BizPlus bundle BUT you will NOT be able to use the bundle balance on the plan you migrated to and the bundle will not auto-renew on the day of renewal.
Can I subscribe to different types of BizPlus bundles?,"Yes, you can subscribe to different BizPlus bundles at a time."
"Will I be able to enjoy other MTN Products, Services, Offers and Promotions while on the BizPlus Plan?","Yes, you will be able to enjoy all MTNN Products, Services, Offers and Promotions while on the BizPlus plan."
What is XtraValue Plan?,"MTN XtraValue tariff Plan is a plan that rewards you with airtime for National SMS & calls, International calls to 6 (six) selected international countries from the very first second and volumes of data for browsing after subscribing to any XtraValue bundle plan.The XtraValue bundle is divided into XtraTalk (this bundle gives you more airtime than data) and XtraData (this bundle gives you more data than airtime)."
